ID	XL_ID	XL_ID_source	XENLA_XenBase_GeneNames	XENLA_GenBank_Description	HUMAN_UniProtID	HUMAN_GeneNames_Primary	HUMAN_GeneNames_Synonyms	eggNOG_annotation
ENOG411CSDS	148230784, Xelaev18036855m.g, Xelaev18008922m.g, Xelaev18034563m.g, Xelaev18021407m.g, Xelaev18005108m.g, Xelaev18017258m.g	GenBank, Xenbase_9.1	NA, stk32c.S, stk32b.S, stk32c.L, stk32a.S, stk32b.L, stk32a.L	serine/threonine kinase 32A [Xenopus laevis], NA	Q86UX6, Q8WU08, Q9NY57	STK32C, STK32A, STK32B	YANK3, YANK1, YANK2	serine threonine kinase
ENOG411CSDT	Xelaev18017967m.g	Xenbase_9.1	fbxo22.L	"NA"	Q8NEZ5	FBXO22	FBX22	F-box protein 22
ENOG411CSDU	120538010, Xelaev18015452m.g, Xelaev18012873m.g	GenBank, Xenbase_9.1	NA, gemin8.S, gemin8.L	LOC100036923 protein [Xenopus laevis], NA	Q9NWZ8	GEMIN8	FAM51A1	gem (nuclear organelle) associated protein 8
ENOG411CSDV	Xelaev18019767m.g, Xelaev18021738m.g, Xelaev18016706m.g, Xelaev18024600m.g	Xenbase_9.1	dennd5b.S, dennd5a.L, dennd5b.L, dennd5a.S	"NA"	Q6IQ26, Q6ZUT9	DENND5A, DENND5B	KIAA1091 RAB6IP1, NA	DENN MADD domain containing
ENOG411CSDW	148230565, 148235397, Xelaev18013231m.g, Xelaev18015749m.g	GenBank, Xenbase_9.1	NA, lect1.L, lect1.S	leukocyte cell derived chemotaxin 1 [Xenopus laevis], NA	O75829	CNMD	CHMI LECT1 MYETS1	Leukocyte cell derived chemotaxin 1
ENOG411CSDX	162287210	GenBank	"NA"	hypothetical protein LOC494991 [Xenopus laevis]	Q96AT1	KIAA1143	"NA"	kiaa1143
ENOG411CSDZ	Xelaev18033822m.g, Xelaev18033821m.g	Xenbase_9.1	mrps28.S, Xelaev18033821m.g	"NA"	Q9Y2Q9	MRPS28	MRPS35	Mitochondrial ribosomal protein S28
ENOG411CSE1	148234116, Xelaev18028773m.g, Xelaev18026117m.g	GenBank, Xenbase_9.1	NA, fbxo11.S, fbxo11.L	F-box protein 11 [Xenopus laevis], NA	Q86XK2	FBXO11	FBX11 PRMT9 VIT1	F-box protein 11
ENOG411CSE2	Xelaev18033407m.g, Xelaev18031615m.g	Xenbase_9.1	rreb1.S, rreb1.L	"NA"	Q92766	RREB1	FINB	Ras responsive element binding protein 1
ENOG411CSE4	147899934, Xelaev18010986m.g	GenBank, Xenbase_9.1	NA, c5orf28.S	transmembrane protein C5orf28 homolog [Xenopus laevis], NA	Q0VDI3	TMEM267	C5orf28	Chromosome 5 open reading frame 28
ENOG411CSE5	147906172, 148225807, 148226797, 148237474, 6252982	GenBank	"NA"	homeobox protein OTX2-A [Xenopus laevis], homeobox protein otx5-A [Xenopus laevis], homeobox protein otx5-B [Xenopus laevis], homeobox protein OTX2-B [Xenopus laevis], XOTX5 [Xenopus laevis]	P32243	OTX2	"NA"	Orthodenticle homeobox 2
ENOG411CSE6	Xelaev18044500m.g	Xenbase_9.1	ccdc108.L	"NA"	Q6ZU64	CFAP65	CCDC108	Coiled-coil domain containing 108
ENOG411CSE7	Xelaev18005394m.g	Xenbase_9.1	neil3.L	"NA"	Q8TAT5	NEIL3	"NA"	Nei endonuclease VIII-like 3 (E. coli)
ENOG411CSEB	Xelaev18019845m.g, Xelaev18002527m.g	Xenbase_9.1	dusp16.S, dusp16.L	"NA"	Q13202, Q9BY84	DUSP8, DUSP16	C11orf81 VH5, KIAA1700 MKP7	Dual specificity phosphatase
ENOG411CSEC	147904605, Xelaev18032103m.g	GenBank, Xenbase_9.1	NA, orc5.L	origin recognition complex, subunit 5 [Xenopus laevis], NA	O43913	ORC5	ORC5L	Origin recognition complex, subunit 5
ENOG411CSED	147902509, 147904641, Xelaev18010522m.g	GenBank, Xenbase_9.1	NA, snap29.S	synaptosomal-associated protein, 29kDa [Xenopus laevis], uncharacterized protein LOC734683 [Xenopus laevis], NA	O95721	SNAP29	"NA"	Synaptosomal-associated protein
ENOG411CSEE	Xelaev18036649m.g, Xelaev18004837m.g, Xelaev18001257m.g, Xelaev18034258m.g, Xelaev18008792m.g	Xenbase_9.1	Xelaev18036649m.g, atrn.L, Xelaev18001257m.g, Xelaev18034258m.g, atrn.S	"NA"	O75882, Q5VV63	ATRN, ATRNL1	KIAA0548 MGCA, KIAA0534	attractin-like 1
ENOG411CSEF	148224423, Xelaev18026153m.g, Xelaev18028745m.g	GenBank, Xenbase_9.1	NA, camkmt.L, camkmt.S	calmodulin-lysine N-methyltransferase [Xenopus laevis], NA	Q7Z624	CAMKMT	C2orf34 CLNMT	Calmodulin-lysine N-methyltransferase
ENOG411CSEH	148230693, Xelaev18012909m.g	GenBank, Xenbase_9.1	NA, gk.L	glycerol kinase [Xenopus laevis], NA	P32189, Q14409, Q14410	GK, GK3P, GK2	NA, GKP3 GKTB, GKP2 GKTA	Glycerol kinase
ENOG411CSEI	Xelaev18046843m.g, Xelaev18044238m.g, Xelaev18044235m.g, Xelaev18046844m.g	Xenbase_9.1	None	"NA"	Q96MK3	FAM20A	"NA"	family with sequence similarity 20, member A
ENOG411CSEJ	13311191, 148223591, 38014781, Xelaev18001864m.g, Xelaev18002600m.g	GenBank, Xenbase_9.1	NA, pparg.L, pparg.S	peroxisome proliferator-activated receptor gamma [Xenopus laevis], PPARg protein [Xenopus laevis], NA	P37231	PPARG	NR1C3	peroxisome proliferator-activated receptor gamma
ENOG411CSEK	147906639, Xelaev18002575m.g	GenBank, Xenbase_9.1	NA, bod1.S	biorientation of chromosomes in cell division protein 1 [Xenopus laevis], NA	Q96IK1	BOD1	FAM44B	biorientation of chromosomes in cell division
ENOG411CSEN	147901900	GenBank	"NA"	leucine-rich repeat-containing protein 57 [Xenopus laevis]	Q8N9N7	LRRC57	"NA"	leucine rich repeat containing 57
ENOG411CSEQ	Xelaev18014862m.g	Xenbase_9.1	smpd2.S	"NA"	O60906	SMPD2	"NA"	Sphingomyelin phosphodiesterase 2, neutral membrane (Neutral sphingomyelinase)
ENOG411CSER	115528231, 350529354, Xelaev18027935m.g	GenBank, Xenbase_9.1	NA, nrros.L	LOC100158336 protein [Xenopus laevis], leucine rich repeat containing 33 [Xenopus laevis], NA	Q86YC3	NRROS	LRRC33	Leucine rich repeat containing 33
ENOG411CSES	Xelaev18008516m.g, Xelaev18011152m.g, Xelaev18040796m.g	Xenbase_9.1	aqp7.L, aqp7.S, aqp10.L	"NA"	O14520, Q96PS8, A6NL99, A0A075B734	AQP7, AQP10, AQP7P3, LOC100509620	AQP7L AQP9, NA	aquaporin
ENOG411CSET	Xelaev18005518m.g, Xelaev18009252m.g	Xenbase_9.1	znf827.L, znf827.S	"NA"	Q17R98	ZNF827	"NA"	Zinc finger protein 827
ENOG411CSEU	148229767, Xelaev18017783m.g	GenBank, Xenbase_9.1	NA, fam185a.L	hypothetical protein LOC735125 [Xenopus laevis], NA	Q8N0U4	FAM185A	"NA"	Family with sequence similarity 185, member A
ENOG411CSEV	Xelaev18030717m.g	Xenbase_9.1	gjd4.L	"NA"	Q96KN9	GJD4	CX40.1	One gap junction consists of a cluster of closely packed pairs of transmembrane channels, the connexons, through which materials of low MW diffuse from one cell to a neighboring cell (By similarity)
ENOG411CSEW	147900159, 147902814, 148237568, Xelaev18043281m.g, Xelaev18030828m.g, Xelaev18046046m.g	GenBank, Xenbase_9.1	NA, slc25a39.L, slc25a40.L, slc25a39.S	uncharacterized protein LOC734858 [Xenopus laevis], solute carrier family 25 member 40 [Xenopus laevis], solute carrier family 25, member 39 [Xenopus laevis], NA	Q8TBP6, Q9BZJ4	SLC25A40, SLC25A39	MCFP, NA	Solute carrier family 25 member
ENOG411CSEX	Xelaev18006353m.g	Xenbase_9.1	loc100498215-like.L	"NA"	Q8NAG6	ANKLE1	ANKRD41 LEM3	ankyrin repeat and LEM domain containing 1
ENOG411CSEY	148230282, 54648165, Xelaev18008408m.g, Xelaev18011055m.g	GenBank, Xenbase_9.1	NA, malt1.L, malt1.S	mucosa associated lymphoid tissue lymphoma translocation gene 1 [Xenopus laevis], LOC495471 protein [Xenopus laevis], NA	Q9UDY8	MALT1	MLT	Mucosa associated lymphoid tissue lymphoma translocation gene 1
ENOG411CSEZ	147902553, Xelaev18042181m.g	GenBank, Xenbase_9.1	NA, tmem185a.S	transmembrane protein 185A [Xenopus laevis], NA	Q8NFB2, Q9H7F4	TMEM185A, TMEM185B	CXorf13 FAM11A, FAM11B	transmembrane protein 185A
ENOG411CSF0	148227248, Xelaev18031285m.g, Xelaev18033275m.g	GenBank, Xenbase_9.1	NA, sept7.L, sept7.S	septin-7 [Xenopus laevis], NA	Q16181	SEPTIN7	CDC10 SEPT7	septin 7
ENOG411CSF1	Xelaev18020111m.g, Xelaev18025392m.g, Xelaev18023332m.g, Xelaev18018933m.g	Xenbase_9.1	evi5l.S, evi5.S, evi5.L, evi5l.L	"NA"	Q96CN4, O60447	EVI5L, EVI5	NA, NB4S	Ecotropic viral integration site
ENOG411CSF2	148231577, Xelaev18018745m.g, Xelaev18020202m.g, Xelaev18034648m.g	GenBank, Xenbase_9.1	NA, lzts1.L, lzts1.S, lzts2.L	leucine zipper putative tumor suppressor 2 homolog [Xenopus laevis], NA	Q9BRK4, Q9Y250	LZTS2, LZTS1	KIAA1813 LAPSER1, FEZ1	tumor suppressor
ENOG411CSF3	147905428	GenBank	"NA"	caspase 6, apoptosis-related cysteine peptidase [Xenopus laevis]	P55212	CASP6	MCH2	Caspase 6, apoptosis-related cysteine peptidase
ENOG411CSF4	147905961, 148222212, 148223179	GenBank	"NA"	uncharacterized protein LOC734781 [Xenopus laevis], COP9 constitutive photomorphogenic homolog subunit 7B [Xenopus laevis], MGC81975 protein [Xenopus laevis]	Q9H9Q2, Q9UBW8	COPS7B, COPS7A	CSN7B, CSN7A DERP10	COP9 (constitutive photomorphogenic) homolog, subunit
ENOG411CSF5	147901731, Xelaev18012917m.g	GenBank, Xenbase_9.1	NA, ccdc138.L	coiled-coil domain containing 138 [Xenopus laevis], NA	Q96M89	CCDC138	"NA"	Coiled-coil domain containing 138
ENOG411CSF6	116063406, 148230711, 148235853, 56540962	GenBank	"NA"	MGC154518 protein [Xenopus laevis], electron-transfer-flavoprotein, alpha polypeptide [Xenopus laevis], uncharacterized protein LOC735108 [Xenopus laevis], LOC496165 protein [Xenopus laevis]	P13804	ETFA	"NA"	Electron-transfer-flavoprotein, alpha polypeptide
ENOG411CSF7	Xelaev18002140m.g, Xelaev18029406m.g, Xelaev18011564m.g, Xelaev18014246m.g, Xelaev18012471m.g, Xelaev18027301m.g, Xelaev18029443m.g, Xelaev18015157m.g	Xenbase_9.1	htr1b.L, htr1e.S, htr1f.L, htr1f.S, htr1d.L, htr1e.L, htr1b.S, htr1d.S	"NA"	P28222, P30939, P28221, P28566	HTR1B, HTR1F, HTR1D, HTR1E	HTR1DB, HTR1EL, HTR1DA HTRL, NA	5-hydroxytryptamine (Serotonin) receptor
ENOG411CSF8	Xelaev18032098m.g, Xelaev18033784m.g	Xenbase_9.1	slco5a1.L, slco5a1.S	"NA"	Q9H2Y9	SLCO5A1	OATP5A1 SLC21A15	Solute carrier organic anion transporter family member 5A1
ENOG411CSF9	148225671, 148236903, 90186582, 90186584, 90186586, Xelaev18021759m.g	GenBank, Xenbase_9.1	NA, Xelaev18021759m.g	7-dehydrocholesterol reductase [Xenopus laevis], 7-dehydrocholesterol reductase large variant [Xenopus laevis], 7-dehydrocholesterol reductase medium variant [Xenopus laevis], 7-dehydrocholesterol reductase short variant [Xenopus laevis], NA	Q9UBM7	DHCR7	D7SR	7-dehydrocholesterol reductase
ENOG411CSFA	296439270, 353703748, 50418040, 52354758, Xelaev18029023m.g, Xelaev18026773m.g	GenBank, Xenbase_9.1	NA, phf10.S, phf10.L	RecName: Full=PHD finger protein 10, PHD finger protein 10 [Xenopus laevis], MGC82172 protein [Xenopus laevis], LOC494765 protein [Xenopus laevis], NA	Q8WUB8	PHF10	BAF45A	PHD finger protein 10
ENOG411CSFB	148223277, 51895837, 56178119, Xelaev18012410m.g, Xelaev18012412m.g, Xelaev18014731m.g, Xelaev18012414m.g, Xelaev18014735m.g, Xelaev18014730m.g	GenBank, Xenbase_9.1	NA, loc100495198.L, maoa.L, maoa.S, maob.L, loc100495198.S, maob.S	monoamine oxidase A [Xenopus laevis], LOC446968 protein [Xenopus laevis], monoamine oxidase [Xenopus laevis], NA	P21397, P27338	MAOA, MAOB	"NA"	Monoamine oxidase
ENOG411CSFC	Xelaev18023154m.g	Xenbase_9.1	Xetrov90011882m.L	"NA"	Q5VU57	AGBL4	CCP6	ATP GTP binding protein-like 4
ENOG411CSFD	1334661, 147903139, 148229787, 391931	GenBank	"NA"	NAD(+) ADP-ribosyltransferase [Xenopus laevis], poly [ADP-ribose] polymerase 1 [Xenopus laevis], uncharacterized protein LOC734426 [Xenopus laevis], poly(ADP-ribose) polymerase [Xenopus laevis]	P09874	PARP1	ADPRT PPOL	Poly (ADP-ribose) polymerase 1
ENOG411CSFF	148236500, 148236897, 27924244, Xelaev18046862m.g, Xelaev18044260m.g	GenBank, Xenbase_9.1	NA, psmd12.S, psmd12.L	proteasome (prosome, macropain) 26S subunit, non-ATPase, 12 [Xenopus laevis], uncharacterized protein LOC431923 [Xenopus laevis], Psmd12 protein [Xenopus laevis], NA	O00232	PSMD12	"NA"	Proteasome (Prosome, macropain) 26S subunit, non-ATPase, 12
ENOG411CSFG	Xelaev18014766m.g, Xelaev18012380m.g	Xenbase_9.1	srpx.S, srpx.L	"NA"	P78539	SRPX	ETX1	Sushi-repeat containing protein, X-linked
ENOG411CSFJ	Xelaev18039072m.g	Xenbase_9.1	ercc2.L	"NA"	P18074	ERCC2	XPD XPDC	excision repair cross-complementing rodent repair deficiency, complementation group 2
ENOG411CSFM	Xelaev18010435m.g, Xelaev18007523m.g	Xenbase_9.1	mn1.S, mn1.L	"NA"	Q10571	MN1	"NA"	meningioma (disrupted in balanced translocation) 1
ENOG411CSFN	120538097, 148226316, 148233187, 148233716, Xelaev18018082m.g, Xelaev18006348m.g	GenBank, Xenbase_9.1	NA, csnk1g1.L, csnk1g2.L	LOC100036840 protein [Xenopus laevis], casein kinase 1, gamma 2 [Xenopus laevis], casein kinase I isoform gamma-1 [Xenopus laevis], uncharacterized protein LOC734338 [Xenopus laevis], NA	Q9Y6M4, Q9HCP0, P78368	CSNK1G3, CSNK1G1, CSNK1G2	NA, CK1G2	Casein kinase 1 gamma
ENOG411CSFP	148223569, Xelaev18018424m.g, Xelaev18020446m.g	GenBank, Xenbase_9.1	NA, clpx.L, clpx.S	ClpX caseinolytic peptidase X homolog [Xenopus laevis], NA	O76031	CLPX	"NA"	ClpX caseinolytic peptidase X homolog (E. coli)
ENOG411CSFQ	46358554, Xelaev18012064m.g, Xelaev18015110m.g	GenBank, Xenbase_9.1	NA, hivep3.L, hivep3.S	schnurri 3 [Xenopus laevis], NA	Q5T1R4	HIVEP3	KBP1 KIAA1555 KRC ZAS3	human immunodeficiency virus type I enhancer binding protein 3
ENOG411CSFT	147902561, 148232748, Xelaev18021383m.g, Xelaev18005067m.g, Xelaev18017291m.g, Xelaev18008891m.g	GenBank, Xenbase_9.1	NA, rgs14.S, rgs12.L, rgs14.L, rgs12.S	regulator of G-protein signaling 12 [Xenopus laevis], regulator of G-protein signaling 14 [Xenopus laevis], NA	O43566, O14924	RGS14, RGS12	"NA"	regulator of G-protein signaling
ENOG411CSFU	148223784	GenBank	"NA"	THO complex subunit 7 homolog [Xenopus laevis]	Q6I9Y2	THOC7	NIF3L1BP1	THO complex 7 homolog (Drosophila)
ENOG411CSFV	147904946, Xelaev18002484m.g, Xelaev18019817m.g	GenBank, Xenbase_9.1	NA, timp3.L, timp3.S	metalloproteinase inhibitor 3 precursor [Xenopus laevis], NA	P35625	TIMP3	"NA"	TIMP metallopeptidase inhibitor 3
ENOG411CSFW	Xelaev18025747m.g, Xelaev18023762m.g	Xenbase_9.1	omd.S, omd.L	"NA"	Q99983	OMD	SLRR2C	Osteomodulin
ENOG411CSFY	148228941, Xelaev18018140m.g, Xelaev18020695m.g	GenBank, Xenbase_9.1	NA, mcee.L, mcee.S	methylmalonyl CoA epimerase [Xenopus laevis], NA	Q96PE7	MCEE	"NA"	Methylmalonyl CoA epimerase
ENOG411CSFZ	148223746, 148224508, 148744506, 198443360	GenBank	"NA"	ubiquitin-conjugating enzyme E2 D2 [Xenopus laevis], ubiquitin-conjugating enzyme E2D 2 (UBC4/5 homolog, yeast) [Xenopus laevis], LOC100101299 protein [Xenopus laevis], Chain B, Structure Of The Ciap2 Ring Domain Bound To Ubch5b	P62837, Q9Y2X8, P51668	UBE2D2, UBE2D4, UBE2D1	PUBC1 UBC4 UBC5B UBCH4 UBCH5B, UBCH5D, SFT UBC5A UBCH5 UBCH5A	Ubiquitin-conjugating enzyme E2D
ENOG411CSG0	120538012, 147898687, 148237701	GenBank	"NA"	LOC100036930 protein [Xenopus laevis], transmembrane protein 120B-B [Xenopus laevis], transmembrane protein 120B-A [Xenopus laevis]	Q9BXJ8, A0PK00	TMEM120A, TMEM120B	TMPIT, NA	Transmembrane protein 120B
ENOG411CSG1	Xelaev18028244m.g, Xelaev18030203m.g, Xelaev18028243m.g	Xenbase_9.1	Xetrov90026110m.L, Xetrov90026110m.S, rp1l1.L	"NA"	Q8IWN7	RP1L1	"NA"	retinitis pigmentosa 1-like 1
ENOG411CSG2	Xelaev18029795m.g, Xelaev18027702m.g	Xenbase_9.1	gpr171.S, gpr171.L	"NA"	O14626	GPR171	H963	G protein-coupled receptor 171
ENOG411CSG3	147906027, Xelaev18004807m.g, Xelaev18008826m.g	GenBank, Xenbase_9.1	NA, suclg1.L, suclg1.S	succinate-CoA ligase, alpha subunit [Xenopus laevis], NA	P53597	SUCLG1	"NA"	succinate-CoA ligase, alpha subunit
ENOG411CSG4	148229527	GenBank	"NA"	poly(A) binding protein, cytoplasmic 4 (inducible form) [Xenopus laevis]	Q13310	PABPC4	APP1 PABP4	Poly(A) binding protein, cytoplasmic 4 (Inducible form)
ENOG411CSG5	148226877, 148231597, 148235108, Xelaev18046175m.g, Xelaev18031819m.g	GenBank, Xenbase_9.1	NA, ptpn1.S, ptpn2.L	protein tyrosine phosphatase, non-receptor type 1 [Xenopus laevis], protein tyrosine phosphatase, non-receptor type 2 [Xenopus laevis], NA	P17706, P18031	PTPN2, PTPN1	PTPT, PTP1B	Protein tyrosine phosphatase, non-receptor type
ENOG411CSG7	148223317	GenBank	"NA"	carbohydrate sulfotransferase 10 precursor [Xenopus laevis]	O43529	CHST10	"NA"	carbohydrate sulfotransferase 10
ENOG411CSG8	148228873, 50924646, Xelaev18022673m.g	GenBank, Xenbase_9.1	NA, mthfsd.L	methenyltetrahydrofolate synthase domain-containing protein [Xenopus laevis], LOC446264 protein [Xenopus laevis], NA	Q2M296	MTHFSD	"NA"	methenyltetrahydrofolate synthetase domain containing
ENOG411CSG9	14279982, 14279984, 14279986, 148227260, 1524372, 1524377, 1542955, 304650853, 50414696, 8101589, Xelaev18034231m.g, Xelaev18036630m.g	GenBank, Xenbase_9.1	NA, tcf7l2.L, tcf7l2.S	T-cell factor XTCF-3 [Xenopus laevis], T-cell factor XTCF-4A [Xenopus laevis], T-cell factor XTCF-4C [Xenopus laevis], transcription factor 7-like 1-A [Xenopus laevis], transcription factor XTCF-3b [Xenopus laevis], transcription factor XTCF-3c [Xenopus laevis], transcription factor XTCF-3d [Xenopus laevis], transcription factor 7-like 2 [Xenopus laevis], Tcf3-A protein [Xenopus laevis], T-cell factor 4 [Xenopus laevis], NA	Q9HCS4, Q9NQB0	TCF7L1, TCF7L2	TCF3, TCF4	transcription factor 7-like
ENOG411CSGA	147902418, 148234275	GenBank	"NA"	progesterone receptor membrane component 2 [Xenopus laevis], uncharacterized protein LOC734830 [Xenopus laevis]	O15173	PGRMC2	DG6 PMBP	Progesterone receptor membrane component 2
ENOG411CSGB	116063456, Xelaev18019820m.g, Xelaev18002487m.g	GenBank, Xenbase_9.1	NA, rtcb.S, rtcb.L	MGC154502 protein [Xenopus laevis], NA	Q9Y3I0	RTCB	C22orf28	Catalytic subunit of the tRNA-splicing ligase complex that acts by directly joining spliced tRNA halves to mature-sized tRNAs by incorporating the precursor-derived splice junction phosphate into the mature tRNA as a canonical 3',5'- phosphodiester. May act as a RNA ligase with broad substrate specificity, and may function toward other RNAs (By similarity)
ENOG411CSGE	148228446, 148237057, Xelaev18028491m.g, Xelaev18026502m.g	GenBank, Xenbase_9.1	NA, lgalsl.S, lgalsl.L	galectin-related protein A [Xenopus laevis], galectin-related protein B [Xenopus laevis], NA	Q3ZCW2	LGALSL	GRP	lectin, galactoside-binding-like
ENOG411CSGF	133919894, 133919896, 161612271, 47939907, Xelaev18046492m.g, Xelaev18047471m.g, Xelaev18045113m.g, Xelaev18043811m.g, Xelaev18025545m.g	GenBank, Xenbase_9.1	NA, rbfox3.S, Xelaev18047471m.g, rbfox1.L, rbfox3.L, rbfox2.S	RNA binding motif protein 9 [Xenopus laevis], LOC100127308 protein [Xenopus laevis], MGC78805 protein [Xenopus laevis], NA	Q9NWB1, O43251, A6NFN3	RBFOX1, RBFOX2, RBFOX3	A2BP A2BP1 FOX1 HRNBP1, FOX2 HRNBP2 RBM9 RTA, NA	RNA binding protein, fox-1 homolog (C. elegans)
ENOG411CSGG	171846717, Xelaev18014923m.g, Xelaev18017901m.g	GenBank, Xenbase_9.1	NA, strip1.S, strip2.L	LOC100158439 protein [Xenopus laevis], NA	Q5VSL9, Q9ULQ0	STRIP1, STRIP2	FAM40A KIAA1761, FAM40B KIAA1170	striatin interacting protein
ENOG411CSGH	148229138, Xelaev18042790m.g, Xelaev18040555m.g	GenBank, Xenbase_9.1	NA, aph1a.S, aph1a.L	anterior pharynx defective 1 homolog A [Xenopus laevis], NA	Q96BI3, Q8WW43	APH1A, APH1B	PSF, PSFL	anterior pharynx defective 1 homolog
ENOG411CSGJ	114107890, Xelaev18000129m.g	GenBank, Xenbase_9.1	NA, taf10	Taf10b protein [Xenopus laevis], NA	Q12962	TAF10	TAF2A TAF2H TAFII30	TAF10 RNA polymerase II, TATA box binding protein (TBP)-associated factor
ENOG411CSGK	120538283, 172044108, Xelaev18034084m.g, Xelaev18032488m.g	GenBank, Xenbase_9.1	NA, pycrl.S, pycrl.L	Pycrl protein [Xenopus laevis], RecName: Full=Pyrroline-5-carboxylate reductase 3; Short=P5C reductase 3; Short=P5CR 3; AltName: Full=Pyrroline-5-carboxylate reductase-like protein, NA	Q53H96	PYCR3	PYCRL	pyrroline-5-carboxylate reductase-like
ENOG411CSGM	147901129, Xelaev18018971m.g	GenBank, Xenbase_9.1	NA, lpar2.L	lysophosphatidic acid receptor 2 [Xenopus laevis], NA	Q9HBW0	LPAR2	EDG4 LPA2	Lysophosphatidic acid receptor 2
ENOG411CSGN	Xelaev18021379m.g, Xelaev18017293m.g	Xenbase_9.1	loc100493940.S, loc100493940.L	"NA"	NA	NA	NA	adrenergic receptor-like
ENOG411CSGP	148234464, Xelaev18011478m.g	GenBank, Xenbase_9.1	NA, donson.L	protein downstream neighbor of son homolog [Xenopus laevis], NA	Q9NYP3	DONSON	C21orf60	downstream neighbor of Son
ENOG411CSGQ	Xelaev18043647m.g, Xelaev18046364m.g, Xelaev18034142m.g	Xenbase_9.1	scrt1.L, scrt1.S, Xelaev18034142m.g	"NA"	Q9BWW7	SCRT1	"NA"	zinc finger protein (Drosophila)
ENOG411CSGR	Xelaev18041445m.g, Xelaev18030804m.g	Xenbase_9.1	mamdc4.S, malrd1.L	"NA"	Q5VYJ5, Q6UXC1	MALRD1, MAMDC4	C10orf112 DIET1, AEGP	MAM domain containing 4
ENOG411CSGT	Xelaev18002040m.g	Xenbase_9.1	ntpcr.1	"NA"	Q9BSD7	NTPCR	C1orf57	Nucleoside-triphosphatase, cancer-related
ENOG411CSGW	161611653, 213626046	GenBank	"NA"	LOC100127297 protein [Xenopus laevis], Hypothetical protein LOC100127297 [Xenopus laevis]	Q8NCV1	ADAD2	TENRL	adenosine deaminase domain containing 2
ENOG411CSGY	125858786, 146772481, 169641960, Xelaev18047287m.g, Xelaev18044811m.g, Xelaev18005906m.g	GenBank, Xenbase_9.1	NA, ugt1a6.S, ugt1a1.L, ugt2a1.L	LOC100037183 protein [Xenopus laevis], UDP-glucuronosyltransferase [Xenopus laevis], NA	Q9Y4X1, O75795, P54855, P22309, P35503, P35504, P22310	UGT2A1, UGT2B17, UGT2B15, UGT1A1, UGT1A3, UGT1A5, UGT1A4	UGT2A2, NA, UGT2B8, GNT1 UGT1	UDP Glucuronosyltransferase 2 family, polypeptide
ENOG411CSGZ	148234374, Xelaev18023768m.g	GenBank, Xenbase_9.1	NA, fancd2.L	Fanconi anemia, complementation group D2 [Xenopus laevis], NA	Q9BXW9	FANCD2	FACD	Fanconi anemia complementation group d2
ENOG411CSH0	148225933, 148230376, Xelaev18013699m.g, Xelaev18016151m.g, Xelaev18016150m.g	GenBank, Xenbase_9.1	NA, Xelaev18013699m.g, Xelaev18016151m.g, Xelaev18016150m.g	exosome component 8 [Xenopus laevis], uncharacterized protein LOC496046 [Xenopus laevis], NA	Q96B26	EXOSC8	OIP2 RRP43	Exosome component 8
ENOG411CSH1	120538307, Xelaev18042546m.g	GenBank, Xenbase_9.1	NA, tgfb1.S	LOC397778 protein [Xenopus laevis], NA	P01137, M0R2S0	TGFB1	TGFB, NA	Transforming growth factor beta 1
ENOG411CSH3	Xelaev18036113m.g	Xenbase_9.1	tulp2.L	"NA"	O00295	TULP2	TUBL2	tubby like protein 2
ENOG411CSH4	118764339, 163638968, 47938721, 62739288, 83405203, Xelaev18006024m.g, Xelaev18010073m.g	GenBank, Xenbase_9.1	NA, uhrf1.L, uhrf2.S	Uhrf2 protein [Xenopus laevis], RING finger domain protein Np95 [Xenopus laevis], LOC432234 protein [Xenopus laevis], NA	Q96T88, Q96PU4	UHRF1, UHRF2	ICBP90 NP95 RNF106, NIRF RNF107	ubiquitin-like with PHD and ring finger domains
ENOG411CSH6	Xelaev18021384m.g, Xelaev18017289m.g	Xenbase_9.1	arl3.2.S, arl3.2.L	"NA"	NA	NA	NA	ADP-ribosylation factor-like protein 3-like
ENOG411CSH7	Xelaev18013096m.g	Xenbase_9.1	kdelc1.L	"NA"	Q6UW63	POGLUT2	EP58 KDELC1	KDEL (Lys-Asp-Glu-Leu) containing 1
ENOG411CSH8	Xelaev18009166m.g, Xelaev18005417m.g	Xenbase_9.1	loc100488348.S, c4orf27.L	"NA"	Q9NWY4, A8MVJ9	HPF1, NA	C4orf27, NA	chromosome 4 open reading frame 27
ENOG411CSH9	Xelaev18028864m.g	Xenbase_9.1	anapc1.S	"NA"	Q9H1A4	ANAPC1	TSG24	Anaphase promoting complex subunit 1
ENOG411CSHA	147898771, Xelaev18025901m.g	GenBank, Xenbase_9.1	NA, eefsec.S	eukaryotic elongation factor, selenocysteine-tRNA-specific [Xenopus laevis], NA	P57772	EEFSEC	SELB	Eukaryotic elongation factor, selenocysteine-tRNA-specific
ENOG411CSHE	Xelaev18011845m.g, Xelaev18014551m.g	Xenbase_9.1	map7d2.L, map7d2.S	"NA"	Q96T17	MAP7D2	"NA"	MAP7 domain containing 2
ENOG411CSHF	147902164, 148233247	GenBank	"NA"	transmembrane protein 30A [Xenopus laevis], uncharacterized protein LOC399053 [Xenopus laevis]	Q9NV96, Q3MIR4	TMEM30A, TMEM30B	C6orf67 CDC50A, CDC50B	Transmembrane protein 30A
